Pavg,iid,tmstp
625.0993166666667,42,2013-09-09
481.17121666666657,42,2013-09-09
503.51285,42,2013-09-09
484.99603333333323,42,2013-09-09
630.6793999999999,42,2013-09-09
1437.5951333333333,42,2013-09-09
1408.9484333333332,42,2013-09-09
549.6597666666668,42,2013-09-09
454.5057166666666,42,2013-09-09
309.6974166666667,42,2013-09-10
310.5266833333333,42,2013-09-10
315.7595733333334,42,2013-09-10
359.19106666666664,42,2013-09-10
257.98521666666664,42,2013-09-10
256.15309499999995,42,2013-09-10
204.07708000000002,42,2013-09-10
225.97466666666665,42,2013-09-10
649.9285899999999,42,2013-09-10
623.3750833333335,42,2013-09-10
381.1469833333333,42,2013-09-10
407.14061999999996,42,2013-09-10
582.2718666666666,42,2013-09-10
530.6581333333332,42,2013-09-10
1122.837,42,2013-09-10
1279.94485,42,2013-09-10
1330.9154000000003,42,2013-09-10
1544.4679166666663,42,2013-09-10
1562.7228166666666,42,2013-09-10
1836.2872500000003,42,2013-09-10
927.4800833333334,42,2013-09-10
634.3572166666668,42,2013-09-10
491.6000166666666,42,2013-09-10
498.3367333333334,42,2013-09-10
505.85543333333334,42,2013-09-11
319.08845,42,2013-09-11
289.33119999999997,42,2013-09-11
262.4240666666667,42,2013-09-11
218.86208166666668,42,2013-09-11
286.53623999999996,42,2013-09-11
269.46320000000003,42,2013-09-11
232.1277433333333,42,2013-09-11
275.25273333333337,42,2013-09-11
569.6974833333334,42,2013-09-11
470.18201666666664,42,2013-09-11
312.8144333333333,42,2013-09-11
270.31046499999997,42,2013-09-11
1056.1512366666666,42,2013-09-11
1266.6546466666668,42,2013-09-11
498.4772166666666,42,2013-09-11
574.8923833333333,42,2013-09-11
504.40801666666664,42,2013-09-11
685.1456999999999,42,2013-09-11
643.1743166666669,42,2013-09-11
866.4062833333331,42,2013-09-11
598.9445333333332,42,2013-09-11
538.2680333333334,42,2013-09-11
573.0964166666668,42,2013-09-11
285.91313833333334,42,2013-09-12
254.8557416666667,42,2013-09-12
285.34555499999993,42,2013-09-12
220.99172166666668,42,2013-09-12
220.97086833333333,42,2013-09-12
233.21246666666667,42,2013-09-12
324.52000000000004,42,2013-09-12
299.22083333333336,42,2013-09-12
262.86088333333333,42,2013-09-12
939.4447333333333,42,2013-09-12
357.77175000000005,42,2013-09-12
236.99905499999994,42,2013-09-12
1103.5174333333334,42,2013-09-12
840.8554333333334,42,2013-09-12
534.1947666666666,42,2013-09-12
521.3804,42,2013-09-12
999.2076333333333,42,2013-09-12
1571.253616666667,42,2013-09-12
348.2085166666667,42,2013-09-12
939.2285499999998,42,2013-09-12
709.08645,42,2013-09-12
575.1832833333333,42,2013-09-12
528.9833666666667,42,2013-09-12
433.1801333333333,42,2013-09-12
306.0987566666666,42,2013-09-13
280.2814,42,2013-09-13
328.41125,42,2013-09-13
339.4196,42,2013-09-13
220.25614,42,2013-09-13
284.06770666666665,42,2013-09-13
220.3785,42,2013-09-13
209.57338000000001,42,2013-09-13
410.02413333333334,42,2013-09-13
446.57133333333337,42,2013-09-13
700.8754,42,2013-09-13
561.5351666666667,42,2013-09-13
474.26856666666663,42,2013-09-13
313.01831666666664,42,2013-09-13
329.3983666666667,42,2013-09-13
579.5080166666665,42,2013-09-13
661.8660333333332,42,2013-09-13
512.29225,42,2013-09-13
493.4829333333334,42,2013-09-13
507.60645,42,2013-09-13
702.0125666666664,42,2013-09-13
599.9626833333333,42,2013-09-13
582.8881666666667,42,2013-09-13
549.2246833333334,42,2013-09-13
405.4508666666667,42,2013-09-14
311.2621500000001,42,2013-09-14
308.90528333333333,42,2013-09-14
310.05785,42,2013-09-14
309.9289166666667,42,2013-09-14
194.23678333333334,42,2013-09-14
310.8057500000001,42,2013-09-14
195.80627166666673,42,2013-09-14
321.1858666666667,42,2013-09-14
655.6403833333334,42,2013-09-14
589.3650166666667,42,2013-09-14
266.23098333333326,42,2013-09-14
266.42591666666664,42,2013-09-14
218.39248499999997,42,2013-09-14
220.1206,42,2013-09-14
241.83635,42,2013-09-14
249.73626666666667,42,2013-09-14
247.39456166666668,42,2013-09-14
613.76254,42,2013-09-14
1552.6155999999999,42,2013-09-14
1589.3879000000002,42,2013-09-14
640.6628166666667,42,2013-09-14
485.2128833333333,42,2013-09-14
552.4822166666667,42,2013-09-14
389.42133333333334,42,2013-09-15
313.5087833333334,42,2013-09-15
265.75790333333333,42,2013-09-15
238.15821666666665,42,2013-09-15
259.78759333333335,42,2013-09-15
260.05406666666664,42,2013-09-15
216.52569166666666,42,2013-09-15
